ID,Problem,Symptoms,Remedies,Medicines,Source,Dosha Type,Body System,Chronic/Acute,Treatment Type,Contraindications,Preventive Advice,Seasonal Suitability,Gender/Age Relevance,Confidence,Classical Texts,Modern Evidence,Institutional Endorsements,WHO Strategy Reference,Authentication Notes,Auth_Score
11,Sinus Infection,dry cough; hoarseness; chest pain on coughing; fever,Steam inhalation with eucalyptus/tulsi/ginger; take slow deep breaths.,"Guduchi, Cinnamon, Pippali","Áyurveda Encyclopedia - Ch.20, p.516",Tridoshic,Respiratory,Acute,Lifestyle,Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.69,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
12,Wasting (Kshaya) - variant 18,burning urination; frequent urination; difficulty starting stream; blood in urine,"Drink jeera (cumin) water and maintain hydration; avoid excessive spice/alcohol.; Use ginger in home preparations (e.g., ginger tea or paste) as supportive remedy.",Guduchi,"Áyurveda Encyclopedia - Ch.14, p.434",Vata-Kapha,Urinary,Chronic,Herb,Avoid alcohol and excess salt,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.68,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.88
13,Food Allergies & Parasites,fever; fatigue; malaise; body aches,"Warm poultice with turmeric and hot water compress for sprains; rest and elevation.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.",Coriander,"Áyurveda Encyclopedia - Ch.20, p.440",Vata-Kapha,Musculoskeletal,Chronic,Topical; Yoga,Avoid sun exposure,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.97,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.8
14,Hemorrhoids (Arshas) - variant 11,chronic low energy; poor digestion; sleep disturbances,"Triphala powder (1 tsp) with warm water at night for digestion (if not pregnant).; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Shatavari,"Áyurveda Encyclopedia - Ch.16, p.421",Tridoshic,General/Constitutional,Chronic,Yoga,Avoid cold/raw foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),Male-specific,0.64,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
15,Migraines,seizures; loss of consciousness; confusion; aura before seizure,"Practice gentle breathing (Anulom Vilom/alternate nostril) for 5–10 minutes daily.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.","Bhringraj, Guduchi","Áyurveda Encyclopedia - Ch.20, p.365",Vata,Nervous,Acute,Panchakarma,Avoid spicy/heavy foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.9,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
16,Venereal Diseases,erectile dysfunction; premature ejaculation; pelvic pain,"Gokshura decoction as urinary/reproductive supportive (use per guidance).; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Triphala,"Áyurveda Encyclopedia - Ch.23, p.488",Pitta-Kapha,Reproductive,Acute,Panchakarma; Yoga,Avoid incompatible food combinations,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.78,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.88
17,Thirst Disorders (Trishna),weight gain; fatigue; excessive hunger; bloating,"Avoid heavy/fried foods; prefer light dals, steamed vegetables, and spices like cumin/ginger.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Haridra, Gokshura, Bibhitaki","Áyurveda Encyclopedia - Ch.15, p.495",Vata,Metabolic,Acute,Meditation,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.76,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
18,Allergic Dermatitis,itching; redness; rashes; scaling; pigmentation changes,Gram flour (besan) and turmeric paste as a gentle cleanser for pimples.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Bibhitaki, Manjistha","Áyurveda Encyclopedia - Ch.24, p.515",Kapha,Skin,Acute,Aromatherapy,Avoid incompatible food combinations,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.84,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.89
19,Skin Beauty Care,itching; redness; rashes; scaling; pigmentation changes,"Aloe vera gel applied to affected area 1–2 times daily.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.",Amalaki (Amla),"Áyurveda Encyclopedia - Ch.18, p.390",Vata,Skin,Acute,Aromatherapy; Panchakarma,Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.98,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.92
20,Thirst Disorders (Trishna) - variant 18,tremors; numbness; pain radiating down a limb; memory issues,"Warm sesame oil head massage (Shiroabhyanga) gently before bath.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Clove,"Áyurveda Encyclopedia - Ch.22, p.389",Pitta-Kapha,Nervous,Chronic,Pranayama,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.68,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.8
21,Ear Disorders (Karna Roga),tremors; numbness; pain radiating down a limb; memory issues,"Practice restful sleep hygiene and calming meditation 10 minutes daily.; Use sandalwood in home preparations (e.g., sandalwood tea or paste) as supportive remedy.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Sandalwood, Manjistha","Áyurveda Encyclopedia - Ch.24, p.417",Tridoshic,Nervous,Chronic,Herb; Pranayama,Avoid sun exposure,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.81,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.92
22,Jaundice (Kamala) - variant 5,loss of appetite; bloating; belching; abdominal pain; altered bowel habits,Moong dal khichdi with ghee and cumin; rest digestive system for 24 hours.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.,"Manjistha, Triphala","Áyurveda Encyclopedia - Ch.18, p.443",Vata-Kapha,Digestive,Chronic,Lifestyle; Meditation,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,Adults,0.86,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
23,Obesity (Sthaulya),loss of appetite; bloating; belching; abdominal pain; altered bowel habits,"Jeera-coriander-boiled water (sip warm) after meals for digestion.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.",Bakuchi,"Áyurveda Encyclopedia - Ch.26, p.395",Vata-Kapha,Digestive,Acute,Meditation; Panchakarma,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.95,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.85
24,Hernia,chronic low energy; poor digestion; sleep disturbances,"Ginger tea with jaggery or honey; sip warm throughout the day.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.",Haridra,"Áyurveda Encyclopedia - Ch.21, p.406",Tridoshic,Oral/Teeth,Chronic,Diet,Avoid sun exposure,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.9,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.82
25,Hiccup (Hikka),runny nose; sneezing; sinus pressure; post-nasal drip,"Steam with a few drops of eucalyptus oil; rest and avoid cold exposure.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Ginger, Mustā","Áyurveda Encyclopedia - Ch.20, p.487",Pitta-Kapha,Respiratory,Chronic,Diet; Pranayama,Avoid spicy/heavy foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,Elderly,0.67,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.94
26,Ear Disorders (Karna Roga) - variant 20,irregular periods; pelvic pain; infertility; discharge,Shatavari (as a cooling tonic) in warm milk for female reproductive support (use per guidance).; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Guduchi, Aloe vera","Áyurveda Encyclopedia - Ch.17, p.415",Kapha,Reproductive,Acute,Lifestyle; Topical,No oil massage during acute fever,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.91,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.85
